Title,Location,Year,Description
Teaching Snowboarding,"Myoko, Japan",2023 - Present,You'll find me in the mountains of Japan in the winter months ripping pow and teaching boarding
Teaching Snowboarding,"Christchurch, New Zealand",2023 - Present,You'll find me in the mountains of New Zealand in August ripping pow and teaching boarding
Navy Ship Manufacturing,"Glasgow, UK",2018-2019,"In Glasgow, I was on the management graduate program at BAE Systems, working on complex manufacturing problems"
Engineering and Sales,Rwanda,2015,"Supported the engineering training of engineers in Rwanda, Tanzania and Uganda while consulting for our family business"
Engineering and Sales,Uganda,2015,"Supported the engineering training of engineers in Rwanda, Tanzania and Uganda while consulting for our family business"
Engineering and Sales,Tanzania,2015,"Supported the engineering training of engineers in Rwanda, Tanzania and Uganda while consulting for our family business"
"Physics, Philosophy, Mathematics","Toronto, Canada",2012 - 2016,text
Learning French,"Tours, France",2016 - 2017,text
Operations and Supply Chain Studies,"Manchester, UK",2017 - 2018,Univeristy of Manchester - text
Studying at NUS,Singapore,2019 - 2020,text
Doing Data Science for the Red Cross,Singapore,2021 - 2025,text